tribal_name,year,ff_days,near_thresh_days,temp_mean,temp_max,rh_mean,rh_min,wind_mean,wind_max,bi_mean,bi_max,criteria_mean
Cherokee,2000,1,3,86.02934782608699,105.89000000000001,45.87228260869565,14.8,9.19941575,23.264176000000003,23.86413043478261,66.0,0.9021739130434783
Cherokee,2001,0,2,85.53728260869569,102.47000000000006,44.83695652173913,19.0,9.06568564130435,22.369400000000002,22.41304347826087,53.0,0.8315217391304348
Cherokee,2002,0,0,83.29902173913048,99.05,47.75760869565217,21.5,9.255339250000002,22.816788000000003,20.918478260869566,48.0,0.782608695652174
Cherokee,2003,0,0,84.17260869565222,103.01000000000008,45.99782608695652,25.8,8.732576097826087,22.816788000000003,19.64673913043478,50.0,0.7445652173913043
Cherokee,2004,0,1,83.08380434782613,97.07000000000006,49.17010869565218,22.200000000000003,9.801201239130435,20.803542000000004,22.418478260869566,50.0,0.8586956521739131
Cherokee,2005,0,1,86.08902173913047,103.91000000000008,42.130434782608695,19.1,8.709477260869566,17.000744,23.804347826086957,52.0,0.8804347826086957
Cherokee,2006,0,9,85.64782608695657,105.35,38.6554347826087,19.700000000000003,9.707590163043479,22.369400000000002,26.494565217391305,59.0,0.9456521739130435
Cherokee,2007,0,0,84.07576086956526,100.67000000000006,48.485326086956526,25.3,8.795793967391305,21.922012000000002,17.570652173913043,48.0,0.8260869565217391
Cherokee,2008,0,1,82.90967391304352,99.77000000000007,51.1679347826087,26.900000000000002,9.295458282608696,27.066974000000005,20.070652173913043,60.0,0.7934782608695652
Cherokee,2009,0,1,80.77804347826091,101.39000000000001,49.69510869565217,15.3,9.09243166304348,19.908766000000004,17.92391304347826,51.0,0.6358695652173914
Cherokee,2010,0,4,86.54782608695656,103.01000000000008,42.90326086956522,11.3,9.782965315217393,20.579848000000005,26.32608695652174,60.0,1.0271739130434783
Cherokee,2011,8,38,91.64260869565223,114.89000000000001,30.1179347826087,8.200000000000001,10.745822097826089,25.501116000000003,34.52717391304348,74.0,1.6467391304347827
Cherokee,2012,1,53,91.24152173913046,115.43000000000004,30.019565217391307,7.1000000000000005,10.302081282608697,20.803542000000004,35.369565217391305,72.0,1.7282608695652173
Cherokee,2013,1,14,88.70293478260874,108.05,34.7179347826087,14.600000000000001,9.718531717391306,24.382646,27.48913043478261,59.0,1.2934782608695652
Cherokee,2014,2,23,82.93706521739135,97.97000000000006,40.28478260869566,13.5,10.407849641304349,25.053728000000003,32.36413043478261,88.0,1.1956521739130435
Cherokee,2015,1,0,84.02000000000004,99.05,50.50434782608696,15.5,9.14470797826087,20.579848000000005,23.597826086956523,63.0,0.7989130434782609
Cherokee,2016,0,1,86.37173913043482,100.85,46.82934782608696,19.700000000000003,9.442561402173913,23.040482000000004,22.77173913043478,51.0,0.8913043478260869
Cherokee,2017,0,2,83.67760869565221,97.97000000000006,46.2,18.5,9.156865260869566,21.027236000000002,23.95108695652174,55.0,0.8913043478260869
