route_id,name,route_type,total_km,high_risk_km,moderate_risk_km,high_risk_pct,moderate_risk_pct,vulnerability_score,capacity_vph
RTE_0061,Carrizo-Whiteriver-Indian Pine Highway,Secondary,0.66,0.0,0.0,0.0,0.0,0.0,400
RTE_0062,Carrizo-Whiteriver-Indian Pine Highway,Secondary,3.11,0.0,0.0,0.0,0.0,0.0,400
RTE_0063,West White Mountain Boulevard,Primary,0.03,0.0,0.0,0.0,0.0,0.0,1200
RTE_0064,West White Mountain Boulevard,Primary,0.32,0.0,0.0,0.0,0.0,0.0,1200
RTE_0065,West White Mountain Boulevard,Primary,0.06,0.0,0.0,0.0,0.0,0.0,1200
RTE_0066,West White Mountain Boulevard,Primary,0.11,0.0,0.0,0.0,0.0,0.0,1200
RTE_0067,North Chief Avenue,Secondary,0.41,0.0,0.33,0.0,79.8,79.8,400
RTE_0068,North Chief Avenue,Secondary,1.5,0.0,1.5,0.0,100.0,100.0,400
RTE_0069,North Chief Avenue,Secondary,0.49,0.0,0.0,0.0,0.0,0.0,400
RTE_0070,North Chief Avenue,Secondary,0.53,0.0,0.0,0.0,0.0,0.0,400
RTE_0071,Bourdon Ranch Road,Secondary,0.47,0.0,0.0,0.0,0.0,0.0,400
RTE_0072,Bourdon Ranch Road,Secondary,3.8,0.0,0.0,0.0,0.0,0.0,400
RTE_0073,West White Mountain Boulevard,Primary,0.02,0.0,0.0,0.0,0.0,0.0,1200
RTE_0074,West White Mountain Boulevard,Primary,0.11,0.0,0.0,0.0,0.0,0.0,1200
RTE_0075,North Chief Avenue,Secondary,0.09,0.0,0.09,0.0,100.0,100.0,400
RTE_0076,North Chief Avenue,Secondary,0.98,0.0,0.98,0.0,100.0,100.0,400
RTE_0077,Payson-Show Low Highway,Primary,0.1,0.0,0.0,0.0,0.0,0.0,1200
RTE_0078,Payson-Show Low Highway,Primary,0.31,0.0,0.0,0.0,0.0,0.0,1200
RTE_0079,Carrizo-Whiteriver-Indian Pine Highway,Secondary,10.72,0.0,0.0,0.0,0.0,0.0,400
RTE_0080,Globe-Show Low Highway,Primary,15.84,0.0,0.0,0.0,0.0,0.0,1200
RTE_0081,Globe-Show Low Highway,Primary,3.02,0.0,0.0,0.0,0.0,0.0,1200
RTE_0082,Pinedale Road,Secondary,0.06,0.0,0.0,0.0,0.0,0.0,400
RTE_0083,Pinedale Road,Secondary,0.16,0.0,0.0,0.0,0.0,0.0,400
RTE_0084,RTE_0084,Secondary,0.03,0.0,0.0,0.0,0.0,0.0,400
RTE_0085,RTE_0085,Secondary,0.11,0.0,0.0,0.0,0.0,0.0,400
RTE_0086,Old Highway 160,Secondary,0.08,0.0,0.0,0.0,0.0,0.0,400
RTE_0087,Old Highway 160,Secondary,1.48,0.0,0.0,0.0,0.0,0.0,400
RTE_0088,Porter Mountain Road,Secondary,0.13,0.0,0.0,0.0,0.0,0.0,400
RTE_0089,Porter Mountain Road,Secondary,0.53,0.0,0.0,0.0,0.0,0.0,400
RTE_0090,West White Mountain Boulevard,Primary,0.14,0.0,0.0,0.0,0.0,0.0,1200
RTE_0091,West White Mountain Boulevard,Primary,0.27,0.0,0.0,0.0,0.0,0.0,1200
RTE_0092,South White Mountain Road,Primary,0.8,0.0,0.0,0.0,0.0,0.0,1200
RTE_0093,South White Mountain Road,Primary,0.12,0.0,0.0,0.0,0.0,0.0,1200
RTE_0094,Show Low-Springerville-East Highway,Primary,3.52,0.0,0.0,0.0,0.0,0.0,1200
RTE_0095,East Deuce of Clubs,Primary,2.39,0.0,0.0,0.0,0.0,0.0,1200
RTE_0096,North Chief Avenue,Secondary,0.14,0.0,0.0,0.0,0.0,0.0,400
RTE_0097,North Chief Avenue,Secondary,0.2,0.0,0.0,0.0,0.0,0.0,400
RTE_0098,North Chief Avenue,Secondary,0.93,0.0,0.0,0.0,0.0,0.0,400
RTE_0099,North Chief Avenue,Secondary,0.81,0.0,0.0,0.0,0.0,0.0,400
RTE_0100,West Deuce of Clubs,Primary,0.13,0.0,0.0,0.0,0.0,0.0,1200
RTE_0101,West Deuce of Clubs,Primary,0.15,0.0,0.0,0.0,0.0,0.0,1200
RTE_0102,Show Low-Springerville-East Highway,Primary,0.36,0.0,0.0,0.0,0.0,0.0,1200
RTE_0103,Show Low-Springerville-East Highway,Primary,7.71,0.0,0.0,0.0,0.0,0.0,1200
RTE_0104,West Deuce of Clubs,Primary,0.21,0.0,0.0,0.0,0.0,0.0,1200
RTE_0105,West Deuce of Clubs,Primary,0.59,0.0,0.0,0.0,0.0,0.0,1200
RTE_0106,South Clark Road,Primary,0.43,0.0,0.0,0.0,0.0,0.0,1200
RTE_0107,East White Mountain Boulevard,Primary,0.25,0.0,0.0,0.0,0.0,0.0,1200
RTE_0108,East White Mountain Boulevard,Primary,1.08,0.0,0.0,0.0,0.0,0.0,1200
RTE_0109,Porter Mountain Road,Secondary,0.24,0.0,0.0,0.0,0.0,0.0,400
RTE_0110,Porter Mountain Road,Secondary,0.25,0.0,0.0,0.0,0.0,0.0,400
RTE_0111,West White Mountain Boulevard,Primary,0.26,0.0,0.0,0.0,0.0,0.0,1200
RTE_0112,West White Mountain Boulevard,Primary,0.65,0.0,0.0,0.0,0.0,0.0,1200
RTE_0113,North Chief Avenue,Secondary,0.09,0.0,0.0,0.0,0.0,0.0,400
RTE_0114,North Chief Avenue,Secondary,0.93,0.0,0.0,0.0,0.0,0.0,400
RTE_0115,North Chief Avenue,Secondary,0.37,0.0,0.0,0.0,0.0,0.0,400
RTE_0116,North Chief Avenue,Secondary,0.41,0.0,0.33,0.0,79.8,79.8,400
RTE_0117,East Deuce of Clubs,Primary,0.19,0.0,0.0,0.0,0.0,0.0,1200
RTE_0118,East Deuce of Clubs,Primary,0.25,0.0,0.0,0.0,0.0,0.0,1200
RTE_0119,Payson-Show Low Highway,Primary,0.12,0.0,0.0,0.0,0.0,0.0,1200
RTE_0120,Payson-Show Low Highway,Primary,0.26,0.0,0.0,0.0,0.0,0.0,1200
RTE_0121,North Chief Avenue,Secondary,0.13,0.0,0.13,0.0,100.0,100.0,400
RTE_0122,North Chief Avenue,Secondary,1.5,0.0,1.5,0.0,100.0,100.0,400
RTE_0123,Globe-Show Low Highway,Primary,3.42,0.0,0.0,0.0,0.0,0.0,1200
RTE_0124,Globe-Show Low Highway,Primary,15.84,0.0,0.0,0.0,0.0,0.0,1200
RTE_0125,Pinedale Road,Secondary,0.22,0.0,0.0,0.0,0.0,0.0,400
RTE_0126,Pinedale Road,Secondary,0.08,0.0,0.0,0.0,0.0,0.0,400
RTE_0127,RTE_0127,Secondary,0.76,0.0,0.0,0.0,0.0,0.0,400
RTE_0128,Old Highway 160,Secondary,1.48,0.0,0.0,0.0,0.0,0.0,400
RTE_0129,RTE_0129,Secondary,0.74,0.0,0.0,0.0,0.0,0.0,400
RTE_0130,RTE_0130,Secondary,0.76,0.0,0.0,0.0,0.0,0.0,400
RTE_0131,RTE_0131,Secondary,0.04,0.0,0.0,0.0,0.0,0.0,400
RTE_0132,RTE_0132,Secondary,0.74,0.0,0.0,0.0,0.0,0.0,400
RTE_0133,RTE_0133,Secondary,0.04,0.0,0.0,0.0,0.0,0.0,400
